filename,component_group_id,fold
Au_ani_00001.jpg,component_0000,0
Au_ani_00002.jpg,component_0001,2
Au_ani_00003.jpg,component_0002,1
Au_ani_00004.jpg,component_0003,4
Au_ani_00005.jpg,component_0000,0
Au_ani_00006.jpg,component_0004,3
Au_ani_00007.jpg,component_0005,2
Au_ani_00008.jpg,component_0006,1
Au_ani_00009.jpg,component_0007,1
Au_ani_00010.jpg,component_0000,0
Au_ani_00011.jpg,component_0006,1
Au_ani_00012.jpg,component_0008,4
Au_ani_00013.jpg,component_0000,0
Au_ani_00014.jpg,component_0009,2
Au_ani_00015.jpg,component_0009,2
Au_ani_00016.jpg,component_0000,0
Au_ani_00017.jpg,component_0000,0
Au_ani_00018.jpg,component_0000,0
Au_ani_00019.jpg,component_0000,0
Au_ani_00020.jpg,component_0000,0
Au_ani_00021.jpg,component_0000,0
Au_ani_00022.jpg,component_0000,0
Au_ani_00023.jpg,component_0000,0
Au_ani_00024.jpg,component_0000,0
Au_ani_00025.jpg,component_0010,3
Au_ani_00026.jpg,component_0000,0
Au_ani_00027.jpg,component_0011,2
Au_ani_00028.jpg,component_0000,0
Au_ani_00029.jpg,component_0000,0
Au_ani_00030.jpg,component_0000,0
Au_ani_00031.jpg,component_0000,0
Au_ani_00032.jpg,component_0012,4
Au_ani_00033.jpg,component_0012,4
Au_ani_00034.jpg,component_0012,4
Au_ani_00035.jpg,component_0000,0
Au_ani_00036.jpg,component_0000,0
Au_ani_00037.jpg,component_0000,0
Au_ani_00038.jpg,component_0000,0
Au_ani_00039.jpg,component_0000,0
Au_ani_00040.jpg,component_0000,0
Au_ani_00041.jpg,component_0000,0
Au_ani_00042.jpg,component_0000,0
Au_ani_00043.jpg,component_0000,0
Au_ani_00044.jpg,component_0000,0
Au_ani_00045.jpg,component_0000,0
Au_ani_00046.jpg,component_0000,0
Au_ani_00047.jpg,component_0000,0
Au_ani_00048.jpg,component_0000,0
Au_ani_00049.jpg,component_0013,1
Au_ani_00050.jpg,component_0000,0
Au_ani_00051.jpg,component_0000,0
Au_ani_00052.jpg,component_0000,0
Au_ani_00053.jpg,component_0000,0
Au_ani_00054.jpg,component_0000,0
Au_ani_00055.jpg,component_0000,0
Au_ani_00056.jpg,component_0014,4
Au_ani_00057.jpg,component_0000,0
Au_ani_00058.jpg,component_0000,0
Au_ani_00059.jpg,component_0000,0
Au_ani_00060.jpg,component_0000,0
Au_ani_00061.jpg,component_0000,0
Au_ani_00062.jpg,component_0015,1
Au_ani_00063.jpg,component_0000,0
Au_ani_00064.jpg,component_0000,0
Au_ani_00065.jpg,component_0000,0
Au_ani_00066.jpg,component_0000,0
Au_ani_00067.jpg,component_0015,1
Au_ani_00068.jpg,component_0000,0
Au_ani_00069.jpg,component_0000,0
Au_ani_00070.jpg,component_0000,0
Au_ani_00071.jpg,component_0000,0
Au_ani_00072.jpg,component_0016,3
Au_ani_00073.jpg,component_0000,0
Au_ani_00074.jpg,component_0000,0
Au_ani_00075.jpg,component_0000,0
Au_ani_00076.jpg,component_0000,0
